cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	EFO_1000162	MONDO_0006143	NCIT_C157526	EFO_1000172	MONDO_0004538	NCIT_C157526	cervical squamous cell carcinoma	endocervical type cervical mucinous adenocarcinoma	CPTAC Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma Baseline Form	False	False	False	False	False	True
Cholangiocarcinoma	EFO_0005221	MONDO_0019087	NCIT_C4436	EFO_0005221	MONDO_0019087	NCIT_C4436	cholangiocarcinoma	cholangiocarcinoma	Cholangiocarcinoma	True	True	True	True	True	True
Chondromyxoid fibroma	EFO_0000332	MONDO_0018447	NCIT_C3830	EFO_0000332	MONDO_0018447	NCIT_C3830	chondromyxoid fibroma	chondromyxoid fibroma	Chondromyxoid Fibroma	True	True	True	True	True	True
Chordoma	Orphanet_178	MONDO_0008978	NCIT_C2947	MONDO_0008978	MONDO_0008978	NCIT_C2947	chordoma	chordoma	Chordoma	True	True	True	False	True	True
Choroid plexus tumor	EFO_0007206	MONDO_0016717	NCIT_C4533	EFO_0007206	MONDO_0016717	NCIT_C3473	choroid plexus cancer	choroid plexus neoplasm	Choroid Plexus Neoplasm	False	False	False	True	True	False
Chromophobe renal cell carcinoma	EFO_0000335	MONDO_0017885	NCIT_C4146	EFO_0000335	MONDO_0017885	NCIT_C4146	chromophobe renal cell carcinoma	chromophobe renal cell carcinoma	Chromophobe Renal Cell Carcinoma	True	True	True	True	True	True
Chronic Myelogenous Leukemia	EFO_0000339	MONDO_0011996	NCIT_C3174	EFO_0000339	HP_0005506	NCIT_C3174	chronic myelogenous leukemia	Chronic myelogenous leukemia	Chronic Myeloid Leukemia, BCR-ABL1 Positive	True	True	False	True	False	True
Clear cell sarcoma of the kidney	EFO_0000350	MONDO_0005006	NCIT_C4264	EFO_0000350	MONDO_0005006	NCIT_C4264	clear cell sarcoma of the kidney	clear cell sarcoma of kidney	Clear Cell Sarcoma of the Kidney	True	False	True	True	True	True
Colon Adenocarcinoma	EFO_1001949	MONDO_0002271	NCIT_C4349	EFO_1001949	MONDO_0002271	NCIT_C4349	colon adenocarcinoma	colon adenocarcinoma	Colon Adenocarcinoma	True	True	True	True	True	True
Colon Carcinoma	NA	NA	NA	EFO_1001950	MONDO_0002032	NCIT_C4910	colon carcinoma	colon carcinoma	Colon Carcinoma	True	True	True	False	False	False
Congenital malignant brain tumor	NA	NA	NA	EFO_1002008	MONDO_0001657	NCIT_C3568	atypical teratoid rhabdoid tumor	brain cancer	Malignant Brain Neoplasm	False	False	False	False	False	False
Craniopharyngioma	EFO_1000209	MONDO_0002787	NCIT_C2964	EFO_1000209	MONDO_0018907	NCIT_C2964	Craniopharyngioma	craniopharyngioma	Craniopharyngioma	True	True	True	True	False	True
Cutaneous Melanoma	EFO_0000389	MONDO_0005012	NCIT_C3510	EFO_0000389	MONDO_0005012	NCIT_C3510	cutaneous melanoma	cutaneous melanoma	Cutaneous Melanoma	True	True	True	True	True	True
Desmoid-type fibromatosis	EFO_0009907	Orphanet_873	NCIT_C9182	EFO_0009907	MONDO_0007608	NCIT_C9182	Desmoid-type fibromatosis	desmoid tumor	Desmoid Fibromatosis	True	False	False	True	False	True
Desmoplastic infantile astrocytoma and ganglioglioma	MONDO_0016731	MONDO_0016731	NCIT_C4747	MONDO_0022965	MONDO_0022965	NCIT_C21969	desmoplastic infantile ganglioglioma	desmoplastic infantile ganglioglioma	Mouse Desmoplastic Infantile Astrocytoma / Ganglioglioma	False	False	False	False	False	False
Diffuse fibrillary astrocytoma	MONDO_0016688	MONDO_0016688	NCIT_C4322	EFO_0000272	MONDO_0016688	NCIT_C4322	astrocytoma	fibrillary astrocytoma	Fibrillary Astrocytoma	False	False	False	False	True	True
Diffuse hemispheric glioma	MONDO_0016680	MONDO_0016680	NA	EFO_0021505	MONDO_0858940	NCIT_C185371	diffuse hemispheric glioma, H3 G34-mutant	infant-type hemispheric glioma	Diffuse Hemispheric Glioma, H3 G34-Mutant	False	False	False	False	False	False
Diffuse intrinsic pontine glioma	EFO_1000026	MONDO_0006033	NCIT_C94764	EFO_1000026	MONDO_0006033	NCIT_C94764	diffuse intrinsic pontine glioma	diffuse intrinsic pontine glioma	Diffuse Intrinsic Pontine Glioma	True	True	True	True	True	True
Diffuse leptomeningeal glioneuronal tumor	MONDO_0016745	MONDO_0016745	NCIT_C129424	MONDO_0858956	MONDO_0858956	NCIT_C129424	diffuse leptomeningeal glioneuronal tumor	diffuse leptomeningeal glioneuronal tumor	Diffuse Leptomeningeal Glioneuronal Tumor	True	True	True	False	False	True
Diffuse midline glioma	EFO_1000026	MONDO_0006033	NCIT_C129309	EFO_0020983	MONDO_0006033	NCIT_C182151	diffuse midline glioma	diffuse intrinsic pontine glioma	Diffuse Midline Glioma	True	False	True	False	True	False
Dysembryoplastic neuroepithelial tumor	EFO_0005551	MONDO_0005505	NCIT_C9505	EFO_0005551	MONDO_0005505	NCIT_C9505	dysembryoplastic neuroepithelial tumor	dysembryoplastic neuroepithelial tumor	Dysembryoplastic Neuroepithelial Tumor	True	True	True	True	True	True
EBV-Positive Diffuse Large B-Cell Lymphoma	NA	NA	NA	EFO_0000403	MONDO_0850468	NCIT_C80281	diffuse large B-cell lymphoma	BN2 diffuse large B-cell lymphoma	EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified	False	False	False	False	False	False
Embryonal tumor with multilayer rosettes	MONDO_0016715	MONDO_0016715	NCIT_C129499	MONDO_0004310	MONDO_0958119	NCIT_C186534	adult embryonal tumor with multilayered rosettes, c19mc-altered	embryonal tumor with multilayered rosettes	Embryonal Tumor with Multilayered Rosettes	False	False	False	False	False	False
Ependymoma	EFO_1000028	MONDO_0016698	NCIT_C3017	EFO_1000028	MONDO_0016698	NCIT_C3017	ependymoma	ependymoma	Ependymoma	True	True	True	True	True	True
Epstein-Barr virus-related tumor	MONDO_0017342	MONDO_0017342	NA	MONDO_0017342	MONDO_0017342	NCIT_C14204	Epstein-Barr virus-related tumor	Epstein-Barr virus-related tumor	Epstein-Barr Virus	True	True	False	True	True	False
Esophageal Carcinoma	EFO_0002916	MONDO_0019086	NCIT_C3513	EFO_0002916	MONDO_0019086	NCIT_C3513	esophageal carcinoma	carcinoma of esophagus	Esophageal Carcinoma	True	False	True	True	True	True
Ewing sarcoma	EFO_0000174	MONDO_0012817	NCIT_C4817	EFO_0000174	MONDO_0012817	NCIT_C4817	Ewing sarcoma	Ewing sarcoma	Ewing Sarcoma	True	True	True	True	True	True
Extraventricular neurocytoma	MONDO_0016727	MONDO_0016727	NCIT_C92555	MONDO_0016727	MONDO_0016727	NCIT_C92555	extraventricular neurocytoma	extraventricular neurocytoma	Extraventricular Neurocytoma	True	True	True	True	True	True
Fibromyxoid lesion	MONDO_0037745	MONDO_0037745	NCIT_C66760	EFO_1000408	MONDO_0004529	NCIT_C66760	Ossifying Fibromyxoid Tumor	non-ossifying fibromyxoid tumor	Fibromyxoid Tumor	False	False	False	False	False	True
Follicular Variant Thyroid Gland Papillary Carcinoma	NA	NA	NA	EFO_1000261	MONDO_0006214	NCIT_C126594	Follicular Variant Thyroid Gland Papillary Carcinoma	follicular variant thyroid gland papillary carcinoma	Follicular Variant Thyroid Gland Papillary Carcinoma	True	True	True	False	False	False
Ganglioglioma	EFO_0003094	MONDO_0016733	NCIT_C3788	EFO_0003094	MONDO_0016733	NCIT_C3788	ganglioglioma	ganglioglioma	Ganglioglioma	True	True	True	True	True	True
Ganglioneuroblastoma	EFO_0000502	MONDO_0005035	NCIT_C3790	EFO_0000502	MONDO_0005035	NCIT_C3790	ganglioneuroblastoma	ganglioneuroblastoma	Ganglioneuroblastoma	True	True	True	True	True	True
Ganglioneuroma	EFO_0000500	MONDO_0005033	NCIT_C3049	EFO_0000500	MONDO_0005033	NCIT_C3049	ganglioneuroma	ganglioneuroma	Ganglioneuroma	True	True	True	True	True	True
Germ Cell Tumor	EFO_0000514	MONDO_0005040	NCIT_C3708	EFO_0000514	MONDO_0005040	NCIT_C3708	germ cell tumor	germ cell tumor	Germ Cell Tumor	True	True	True	True	True	True
Germinoma	MONDO_0020580	MONDO_0020580	NCIT_C121618	MONDO_0002598	MONDO_0002598	NCIT_C8712	germinoma	germinoma	Pineal Region Germinoma	True	True	False	False	False	False
Glial-neuronal tumor	MONDO_0016729	MONDO_0016729	NCIT_C4747	EFO_0700059	MONDO_0016729	NCIT_C21966	neuronal tumor	mixed neuronal-glial tumor	Mouse Neuronal and Mixed Neuronal-glial Tumours	False	False	False	False	True	False
Glial-neuronal tumor NOS	MONDO_0016729	MONDO_0016729	NCIT_C4747	EFO_0700059	MONDO_0016729	NCIT_C21966	neuronal tumor	mixed neuronal-glial tumor	Mouse Neuronal and Mixed Neuronal-glial Tumours	False	False	False	False	True	False
Glioblastoma	MONDO_0018177	MONDO_0018177	NCIT_C30587	MONDO_0018177	MONDO_0018177	NCIT_C3058	glioblastoma	glioblastoma	Glioblastoma	True	True	True	True	True	False
Glioblastoma Multiforme	EFO_0000519	MONDO_0018177	NCIT_C3058	EFO_0000519	MONDO_0018177	NCIT_C3058	glioblastoma multiforme	glioblastoma	Glioblastoma	True	False	False	True	True	True
Head and Neck Squamous Cell Carcinoma	EFO_0000181	MONDO_0010150	NCIT_C34447	EFO_0000181	MONDO_0010150	NCIT_C34447	head and neck squamous cell carcinoma	head and neck squamous cell carcinoma	Head and Neck Squamous Cell Carcinoma	True	True	True	True	True	True
Hemangioblastoma	MONDO_0016748	MONDO_0016748	NCIT_C3801	MONDO_0016748	MONDO_0016748	NCIT_C3801	hemangioblastoma	hemangioblastoma	Hemangioblastoma	True	True	True	True	True	True
Hepatoblastoma	EFO_1000292	MONDO_0018666	NCIT_C3728	EFO_1000292	MONDO_0018666	NCIT_C3728	Hepatoblastoma	hepatoblastoma	Hepatoblastoma	True	True	True	True	True	True
Hepatocellular Carcinoma	EFO_0000182	MONDO_0007256	NCIT_C3099	EFO_0000182	MONDO_0007256	NCIT_C3099	hepatocellular carcinoma	hepatocellular carcinoma	Hepatocellular Carcinoma	True	True	True	True	True	True
Hepatocellular neoplasm NOS	NA	NA	NA	EFO_0000762	MONDO_0700152	NCIT_C161838	hepatocellular adenoma	canine hepatocellular carcinoma	Hepatocellular Malignant Neoplasm, Not Otherwise Specified	False	False	False	False	False	False
High-grade glioma	MONDO_0100342	MONDO_0100342	NCIT_C4822	MONDO_1010030	MONDO_1010030	NCIT_C185468	pediatric high-grade glioma	pediatric high-grade glioma	Diffuse Pediatric-Type High Grade Glioma RTK2	False	False	False	False	False	False
High-grade neuroepithelial tumor	NA	NA	NA	EFO_0005551	MONDO_0858959	NCIT_C102897	dysembryoplastic neuroepithelial tumor	polymorphous low grade neuroepithelial tumor of the young	High Grade Astrocytic Tumor	False	False	False	False	False	False
Histiocytic tumor	MONDO_0020081	MONDO_0020081	NCIT_C9294	EFO_0021520	MONDO_0700147	NCIT_C27349	histiocytic neoplasm	canine histiocytic sarcoma	Histiocytic Sarcoma	False	False	False	False	False	False
Hodgkin's lymphoma	EFO_0000183	MONDO_0004952	NCIT_C9357	EFO_0000183	MONDO_0004952	NCIT_C27809	Hodgkins lymphoma	Hodgkins lymphoma	Hodgkin's Lymphoma (Antiquated)	False	False	False	True	True	False
Infant-type hemispheric glioma	EFO_0005543	MONDO_0014695	NCIT_C185471	MONDO_0858940	MONDO_0858940	NCIT_C185471	infant-type hemispheric glioma	infant-type hemispheric glioma	Infant-Type Hemispheric Glioma	True	True	True	False	False	True
Inflammatory Myofibroblastic Tumor	MONDO_0015798	MONDO_0015798	NCIT_C6481	MONDO_0015798	MONDO_0015798	NCIT_C6481	inflammatory myofibroblastic tumor	inflammatory myofibroblastic tumor	Inflammatory Myofibroblastic Tumor	True	True	True	True	True	True
Intraneural perineuroma	MONDO_0015032	MONDO_0015032	NCIT_C6911	MONDO_0015032	MONDO_0015032	NCIT_C6911	intraneural perineurioma	intraneural perineurioma	Intraneural Perineurioma	False	False	False	True	True	True
Juvenile xanthogranuloma	EFO_1000311	MONDO_0015534	NCIT_C3451	EFO_1000311	MONDO_0015534	NCIT_C3451	Juvenile Xanthogranuloma	juvenile xanthogranuloma	Juvenile Xanthogranuloma	True	True	True	True	True	True
Langerhans Cell histiocytosis	EFO_1000318	MONDO_0018310	NCIT_C3107	EFO_1000318	MONDO_0018310	NCIT_C3107	Langerhans Cell Histiocytosis	Langerhans cell histiocytosis	Langerhans Cell Histiocytosis	True	True	True	True	True	True
Low-grade glioma	MONDO_0021637	MONDO_0021637	NCIT_C132067	MONDO_0021637	MONDO_0021637	NCIT_C132067	low grade glioma	low grade glioma	Low Grade Glioma	False	False	False	True	True	True
Lung Adenocarcinoma	EFO_0000571	MONDO_0005061	NCIT_C3512	EFO_0000571	MONDO_0005061	NCIT_C3512	lung adenocarcinoma	lung adenocarcinoma	Lung Adenocarcinoma	True	True	True	True	True	True
Lung Squamous Cell Carcinoma	EFO_0000708	MONDO_0005097	NCIT_C3493	EFO_0000708	MONDO_0005097	NCIT_C3493	squamous cell lung carcinoma	squamous cell lung carcinoma	Lung Squamous Cell Carcinoma	False	False	True	True	True	True
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	EFO_0000403	MONDO_0018905	NCIT_C8851	EFO_0000403	MONDO_0850468	NCIT_C8851	diffuse large B-cell lymphoma	BN2 diffuse large B-cell lymphoma	Diffuse Large B-Cell Lymphoma	False	False	False	True	False	True
Malignant peripheral nerve sheath tumor	EFO_0000760	MONDO_0017827	NCIT_C3798	EFO_0000760	MONDO_0017827	NCIT_C3798	malignant peripheral nerve sheath tumor	malignant peripheral nerve sheath tumor	Malignant Peripheral Nerve Sheath Tumor	True	True	True	True	True	True
Medulloblastoma	EFO_0002939	MONDO_0007959	NCIT_C3222	EFO_0002939	MONDO_0007959	NCIT_C3222	medulloblastoma	medulloblastoma	Medulloblastoma	True	True	True	True	True	True
Melanocytic tumor	MONDO_0003222	MONDO_0003222	NCIT_C5504	EFO_0009675	MONDO_0003222	NCIT_C204739	melanocytic nevus	central nervous system melanocytic neoplasm	MITF Pathway-Activated Melanocytic Tumor	False	False	False	False	True	False
Melanoma	EFO_0000756	MONDO_0005105	NCIT_C3224	EFO_0000756	MONDO_0005105	NCIT_C3224	melanoma	melanoma	Melanoma	True	True	True	True	True	True
Meningioma	Orphanet_2495	MONDO_0016642	NCIT_C3230	MONDO_0016642	MONDO_0016642	NCIT_C3230	meningioma	meningioma	Meningioma	True	True	True	False	True	True
Mesenchymal tumor	EFO_1000473	MONDO_0003512	NCIT_C7059	EFO_1000473	MONDO_0002616	NCIT_C7059	Phosphaturic Mesenchymal Tumor	mesenchymal cell neoplasm	Mesenchymal Cell Neoplasm	False	False	False	True	False	True
Mesothelioma	EFO_0000588	MONDO_0005065	NCIT_C3234	EFO_0000588	MONDO_0005065	NCIT_C3786	mesothelioma	mesothelioma	Mesothelial Neoplasm	True	True	False	True	True	False
Metastatic secondary tumors	EFO_0009812	MONDO_0024883	NCIT_C4968	EFO_0006852	MONDO_0035149	NCIT_C147065	metastatic	secondary erythromelalgia	Metastatic Neuroendocrine Tumor	False	False	False	False	False	False
Mixed germ cell tumor	MONDO_0015864	MONDO_0015864	NCIT_C4290	MONDO_0015864	MONDO_0015864	NCIT_C4290	mixed germ cell tumor	mixed germ cell tumor	Mixed Germ Cell Tumor	True	True	True	True	True	True
Myeloid Leukemia Associated with Down Syndrome	NA	NA	NA	EFO_0001064	MONDO_0850271	NCIT_C43223	Down syndrome	myeloid leukemia associated with down syndrome	Myeloid Leukemia Associated with Down Syndrome	False	True	True	False	False	False
Myeloid Sarcoma	NA	NA	NA	EFO_1001052	MONDO_0006861	NCIT_C3520	myeloid sarcoma	myeloid sarcoma	Myeloid Sarcoma	True	True	True	False	False	False
Neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270	EFO_0000621	MONDO_0005072	NCIT_C3270	neuroblastoma	neuroblastoma	Neuroblastoma	True	True	True	True	True	True
Neurofibroma/Plexiform	EFO_0000658	MONDO_0003304	NCIT_C3797	EFO_0000658	MONDO_0003304	NCIT_C3797	plexiform neurofibroma	plexiform neurofibroma	Plexiform Neurofibroma	False	False	False	True	True	True
Non-Hodgkin Lymphoma	EFO_0005952	MONDO_0018908	NCIT_C3211	EFO_0005952	MONDO_0018908	NCIT_C3211	non-Hodgkins lymphoma	non-Hodgkin lymphoma	Non-Hodgkin Lymphoma	False	True	True	True	True	True
Not Reported	NA	NA	NA	EFO_0009799	MONDO_0021137	NCIT_C43234	self-reported trait	not rare	Not Reported	False	False	True	False	False	False
Oligodendroglioma	EFO_0000632	MONDO_0016695	NCIT_C3288	EFO_0000632	MONDO_0016695	NCIT_C3288	oligodendroglioma	oligodendroglioma	Oligodendroglioma	True	True	True	True	True	True
Osteosarcoma	EFO_0000637	MONDO_0009807	NCIT_C9145	EFO_0000637	MONDO_0009807	NCIT_C9145	osteosarcoma	osteosarcoma	Osteosarcoma	True	True	True	True	True	True
Other tumor	NA	NA	NA	EFO_0004243	MONDO_0858944	NCIT_C160159	carcinoid tumor	myxoid glioneuronal tumor	Other Tumor Site	False	False	False	False	False	False
Ovarian Serous Cystadenocarcinoma	EFO_1000043	MONDO_0006046	NCIT_C7978	EFO_1000043	MONDO_0006046	NCIT_C7978	ovarian serous cystadenocarcinoma	ovarian serous cystadenocarcinoma	Ovarian Serous Cystadenocarcinoma	True	True	True	True	True	True
Pancreatic Adenocarcinoma	EFO_1000044	MONDO_0006047	NCIT_C8294	EFO_1000044	MONDO_0006047	NCIT_C8294	pancreatic adenocarcinoma	pancreatic adenocarcinoma	Pancreatic Adenocarcinoma	True	True	True	True	True	True
Pancreatoblastoma	NA	NA	NA	EFO_1000446	MONDO_0019035	NCIT_C4265	Pancreatoblastoma	pancreatoblastoma	Pancreatoblastoma	True	True	True	False	False	False
Papillary Carcinoma	NA	NA	NA	EFO_1000646	MONDO_0006509	NCIT_C2927	papillary carcinoma	papillary carcinoma	Papillary Carcinoma	True	True	True	False	False	False
Pheochromocytoma and Paraganglioma	EFO_0020005	MONDO_0035540	NA	EFO_0020005	MONDO_0017366	NCIT_C157246	pheochromocytoma-paraganglioma	hereditary pheochromocytoma-paraganglioma	Composite Paraganglioma	False	False	False	True	False	False
Pilocytic astrocytoma	Orphanet_251612	MONDO_0016691	NCIT_C4047	MONDO_0016691	MONDO_0016691	NCIT_C4047	pilocytic astrocytoma	pilocytic astrocytoma	Pilocytic Astrocytoma	True	True	True	False	True	True
Pineoblastoma	EFO_1000475	MONDO_0016722	NCIT_C9344	EFO_1000475	MONDO_0016722	NCIT_C9344	Pineoblastoma	pineoblastoma	Pineoblastoma	True	True	True	True	True	True
Pleomorphic xanthoastrocytoma	MONDO_0016690	MONDO_0016690	NCIT_C4323	MONDO_0016690	MONDO_0850312	NCIT_C4323	pleomorphic xanthoastrocytoma	anaplastic pleomorphic xanthoastrocytoma	Pleomorphic Xanthoastrocytoma	True	False	True	True	False	True
Primary mediastinal large B cell lymphoma	MONDO_0004021	MONDO_0020323	NCIT_C9280	EFO_1000270	MONDO_0020323	NCIT_C9280	Gastric Diffuse Large B-Cell Lymphoma	primary mediastinal large B-cell lymphoma	Primary Mediastinal Large B-Cell Lymphoma	False	False	False	False	True	True
Prostate Adenocarcinoma	EFO_0000673	MONDO_0005082	NCIT_C2919	EFO_0000673	MONDO_0005082	NCIT_C2919	prostate adenocarcinoma	prostate adenocarcinoma	Prostate Adenocarcinoma	True	True	True	True	True	True
Rectum Adenocarcinoma	EFO_0005631	MONDO_0002169	NCIT_C9383	EFO_0005631	MONDO_0002169	NCIT_C9383	rectal adenocarcinoma	rectum adenocarcinoma	Rectal Adenocarcinoma	False	True	False	True	True	True
Renal Clear Cell Carcinoma	EFO_0000349	MONDO_0005005	NCIT_C4033	EFO_0000349	MONDO_0005005	NCIT_C4033	clear cell renal carcinoma	clear cell renal carcinoma	Clear Cell Renal Cell Carcinoma	False	False	False	True	True	True
Renal Papillary Cell Carcinoma	EFO_0000640	MONDO_0017884	NCIT_C6975	EFO_0000640	MONDO_0017884	NCIT_C6975	papillary renal cell carcinoma	papillary renal cell carcinoma	Papillary Renal Cell Carcinoma	False	False	False	True	True	True
Retinoblastoma	MONDO_0008380	MONDO_0008380	NCIT_C7541	MONDO_0008380	MONDO_0008380	NCIT_C7541	retinoblastoma	retinoblastoma	Retinoblastoma	True	True	True	True	True	True
Rhabdoid tumor of the kidney	EFO_1000512	MONDO_0002729	NCIT_C8715	EFO_1000512	MONDO_0002729	NCIT_C8715	Rhabdoid Tumor of the Kidney	rhabdoid tumor of the kidney	Rhabdoid Tumor of the Kidney	True	True	True	True	True	True
Rhabdomyosarcoma	EFO_0002918	MONDO_0005212	NCIT_C3359	EFO_0002918	MONDO_0005212	NCIT_C3359	rhabdomyosarcoma	rhabdomyosarcoma	Rhabdomyosarcoma	True	True	True	True	True	True
Rosai-Dorfman disease	MONDO_0006412	MONDO_0006412	NCIT_C36075	MONDO_0006412	MONDO_0006412	NCIT_C36075	sinus histiocytosis with massive lymphadenopathy	sinus histiocytosis with massive lymphadenopathy	Rosai-Dorfman-Destombes Disease	False	False	False	True	True	True
Rosette-forming glioneuronal tumor	MONDO_0016736	MONDO_0016736	NCIT_C129431	MONDO_0016736	MONDO_0016736	NCIT_C129431	rosette-forming glioneuronal tumor of fourth ventricule	rosette-forming glioneuronal tumor of fourth ventricule	Rosette-Forming Glioneuronal Tumor	False	False	True	True	True	True
Sarcoma	EFO_0000691	MONDO_0005089	NCIT_C9118	EFO_0000691	MONDO_0005089	NCIT_C9118	sarcoma	sarcoma	Sarcoma	True	True	True	True	True	True
Schwannoma	EFO_0000693	MONDO_0002546	NCIT_C3269	EFO_0000693	MONDO_0002546	NCIT_C3269	schwannoma	schwannoma	Schwannoma	True	True	True	True	True	True
Small Cell Carcinoma	NA	NA	NA	EFO_0008524	MONDO_0000402	NCIT_C3915	small cell carcinoma	small cell carcinoma	Small Cell Neuroendocrine Carcinoma	True	True	False	False	False	False
Spindle cell neoplasm	NA	NA	NA	EFO_0000705	MONDO_0020664	NCIT_C27263	spindle cell tumor	spindle cell neoplasm	Spindle Cell Neoplasm	False	True	True	False	False	False
Stomach Adenocarcinoma	EFO_0000503	MONDO_0005036	NCIT_C4004	EFO_0000503	MONDO_0005036	NCIT_C4004	gastric adenocarcinoma	gastric adenocarcinoma	Gastric Adenocarcinoma	False	False	False	True	True	True
Subependymal Giant Cell Astrocytoma	MONDO_0016693	MONDO_0016693	NCIT_C3696	MONDO_0016693	MONDO_0016693	NCIT_C3696	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal Giant Cell Astrocytoma	True	True	True	True	True	True
